# id|user_id|item_id|timestamp
1|2|boost_fire|1779396757381
2|1|coin_magnet|1779405348195
3|1|coin_magnet|1779405359533
4|1|bomb|1779405436703
5|1|bomb|1779405441303
6|1|coin_magnet|1779405442877
7|1|boost_speed|1779405451367
8|1|boost_xp|1779405472035
9|1|coin_magnet|1779405472670
10|1|coin_magnet|1779405492693
11|1|coin_magnet|1779405516412
12|1|bomb|1779405517602
13|1|boost_xp|1779405537910
14|1|coin_magnet|1779405538829
15|1|boost_regen|1779406049928
16|1|boost_regen|1779406052548
17|1|boost_regen|1779406055245
18|1|boost_regen|1779406056385
19|1|boost_shield|1779406058904
20|1|boost_xp|1779406066774
21|1|coin_magnet|1779406141547
22|1|boost_shield|1779409033730
23|1|boost_regen|1779409037694
